customer_id,store_id,first_name,last_name,email,address_id,active
1,2,Nakia,Fadel,sirena.marvin@hotmail.com,463,true
2,2,Cory,Kub,kenia.powlowski@gmail.com,452,false
3,2,Eldridge,Shanahan,ilana.gottlieb@gmail.com,467,true
4,1,Mohammed,Nitzsche,seth.boehm@gmail.com,327,true
5,1,Shellie,Deckow,clyde.borer@gmail.com,170,false
6,2,Rupert,Romaguera,january.parisian@hotmail.com,26,false
7,1,Monroe,Lubowitz,vella.wolff@yahoo.com,496,false
8,2,Mercedez,Bernier,bethany.schaefer@yahoo.com,223,true
9,1,Quyen,Kerluke,mitchel.bashirian@hotmail.com,100,false
10,2,Angie,Jacobi,jon.hayes@gmail.com,312,true
11,2,Logan,Schoen,carter.satterfield@hotmail.com,460,false
12,2,Hoyt,Tillman,peter.hoppe@hotmail.com,305,false
13,2,Alphonse,Berge,rolf.hodkiewicz@hotmail.com,167,true
14,1,Aide,Jaskolski,lino.konopelski@gmail.com,226,false
15,1,Deshawn,Feil,mallory.considine@yahoo.com,182,true
16,2,Regan,Schmidt,winston.reichel@hotmail.com,330,true
17,2,Deshawn,Barton,leif.schuster@yahoo.com,42,true
18,1,Gilbert,Muller,andy.kling@hotmail.com,425,false
19,2,Cary,Goyette,thalia.mertz@hotmail.com,445,true
20,1,Nancie,Flatley,coleman.hoppe@hotmail.com,446,true
21,2,Loralee,Turner,taylor.stroman@yahoo.com,165,true
22,2,Terina,Toy,grover.langworth@gmail.com,94,false
23,2,Emmett,Gutkowski,carmen.crist@gmail.com,356,true
24,2,Laverne,Howell,santos.zieme@hotmail.com,169,true
25,1,Josh,Upton,ezra.huel@yahoo.com,319,true
26,2,Adrianna,Boyle,rosio.pfannerstill@yahoo.com,171,false
27,2,Latoria,Spinka,kenneth.bednar@yahoo.com,116,true
28,2,Leana,Reinger,rodney.ferry@gmail.com,283,false
29,2,Emory,Schoen,marva.lynch@hotmail.com,66,false
30,1,Israel,Mraz,irving.armstrong@hotmail.com,152,true
31,1,Georgeanna,Rippin,bernardo.hane@yahoo.com,3,false
32,2,Silas,Kohler,raphael.bailey@gmail.com,408,true
33,2,Ollie,Volkman,boris.schuppe@gmail.com,261,true
34,1,Georgia,Lakin,laurinda.lebsack@hotmail.com,242,true
35,1,Tanisha,Rau,young.kuhic@hotmail.com,31,true
36,1,Zane,Adams,tory.abshire@gmail.com,392,true
37,2,Cathy,Schowalter,devona.hintz@hotmail.com,248,false
38,2,Orville,Deckow,refugio.heaney@yahoo.com,271,true
39,1,Houston,Durgan,tony.schulist@yahoo.com,460,true
40,2,Novella,Kreiger,alba.schmeler@hotmail.com,231,false
41,1,Rick,Johnston,hobert.cummerata@gmail.com,117,true
42,2,Eleonora,Corwin,jerrica.osinski@yahoo.com,115,false
43,1,Brady,Tromp,misti.heathcote@hotmail.com,155,false
44,2,Ernie,Blick,tracey.grant@hotmail.com,3,false
45,1,Daria,Schuster,georgia.wilkinson@yahoo.com,354,false
46,1,Francesco,Feil,salvatore.beahan@yahoo.com,20,true
47,1,Gail,Hammes,lemuel.toy@gmail.com,160,false
48,1,Meggan,Bayer,chester.daniel@hotmail.com,165,false
49,1,Pete,Johnson,maisie.howell@gmail.com,288,true
50,1,Mozella,Kuphal,daron.carroll@gmail.com,217,true
51,1,Denis,Corkery,junior.cruickshank@gmail.com,419,true
52,1,Marhta,Lang,jan.botsford@hotmail.com,222,false
53,1,Issac,Hintz,joya.prohaska@yahoo.com,124,false
54,1,Hee,Sawayn,octavio.hudson@yahoo.com,324,true
55,2,Regina,Bernhard,carlos.gorczany@yahoo.com,191,true
56,1,Johnny,Simonis,magdalene.ledner@yahoo.com,368,false
57,1,Nichelle,Bode,rosanna.larson@hotmail.com,108,false
58,1,Krysta,Lueilwitz,morgan.roob@yahoo.com,9,false
59,1,Jaclyn,Murazik,rosalee.hermann@gmail.com,376,true
60,1,Melva,Denesik,britt.nikolaus@yahoo.com,489,false
61,2,Kattie,Bednar,alex.mohr@hotmail.com,469,true
62,1,Raeann,Bins,odette.grady@gmail.com,264,false
63,2,Kristeen,Koelpin,bettie.wiegand@hotmail.com,172,true
64,2,Carlotta,Graham,will.braun@yahoo.com,85,false
65,1,Teddy,Welch,shawanda.conroy@yahoo.com,351,true
66,1,Elease,Osinski,rubi.mcdermott@yahoo.com,91,false
67,2,Rhea,Heller,harley.cummerata@gmail.com,309,false
68,2,Scott,Wisoky,myrna.conn@yahoo.com,446,true
69,2,Nova,Bartell,aurea.heidenreich@gmail.com,222,false
70,1,Margorie,Erdman,benito.heller@yahoo.com,109,false
71,1,Willy,Legros,amos.berge@gmail.com,86,true
